auction,name,artist,year,material,dimention,es_price,fin_price,cover
羅芙奧台北2022秋季拍賣會,花園回憶 / 我的房子 5,平子雄一,2012,壓克力 畫布,80 x 87 cm,750000-950000,1560000,https://ravenel.com//resource/cover/ArtworkCover/f2afa695-2f05-4f9f-b950-c9bbf2d1bfc7
羅芙奧台北2022秋季拍賣會,企鵝男孩,山本麻友香,2021,油彩 畫布,97 x 162 cm,1200000-3200000,2640000,https://ravenel.com//resource/cover/ArtworkCover/074db097-8ea8-4e78-b255-105e9b4dfd09
羅芙奧台北2022秋季拍賣會,沉睡的熊 (白天),山本麻友香,2008,油彩 畫布,130.3 x 193.9 cm,1600000-2800000,1920000,https://ravenel.com//resource/cover/ArtworkCover/57e64de8-b7c7-4049-a8a8-ec5e83026182
羅芙奧台北2022秋季拍賣會,來自白馬的禮物 (雙聯幅),長井朋子,2008,油彩 壓克力 漆 畫布,227.5 x 364 cm,1800000-3800000,4800000,https://ravenel.com//resource/cover/ArtworkCover/9f1e2c88-2142-435c-89d5-a16979352257
羅芙奧台北2022秋季拍賣會,海浪,塗鴉先生,2019,壓克力 畫布,80  x 130  cm,2400000-4000000,3600000,https://ravenel.com//resource/cover/ArtworkCover/e032fcb5-f15d-4c66-85f5-1bdcd081629b
羅芙奧台北2022秋季拍賣會,吻,塗鴉先生,2019,壓克力 畫布,100 x 100 cm,2400000-4000000,4800000,https://ravenel.com//resource/cover/ArtworkCover/70ee8172-78ff-40be-9f85-f9f4e1a92b29
羅芙奧台北2022秋季拍賣會,無題,六角彩子,2019,壓克力 畫布,100 x 100 cm,3800000-5000000,5280000,https://ravenel.com//resource/cover/ArtworkCover/adc0beb8-cdd0-43d9-b6ea-3f749e0d4fec
羅芙奧台北2022秋季拍賣會,紐約「感」與「想」；香港「感」與「想」（雙聯幅）,小松美羽,2017,壓克力 金箔 綜合媒材 畫布,130 x 324 cm,5500000-8500000,6000000,https://ravenel.com//resource/cover/ArtworkCover/489e1df7-6f41-4357-ae95-ff65a7c4291a
羅芙奧台北2022秋季拍賣會,雙貓圖,藤田嗣治,約1918,水粉 水彩 墨 金箔 紙本,35.5 x 46.8 cm,6500000-8500000,7200000,https://ravenel.com//resource/cover/ArtworkCover/6fd420fa-433d-452f-be90-a13afbbabf09
羅芙奧台北2022秋季拍賣會,水手肖像,朱沅芷,1927,油彩 紙板裱於木板,48.5 x 38 cm,9500000-18000000,0,https://ravenel.com//resource/cover/ArtworkCover/7bf931d0-9596-4156-8d4d-d3ed254af7c4
